<color=#EC2222><size=18><color=#F00>SCP Monsters</color> - <color=#00FF78>Friendly</color> | <color=#FF8E00>Class-D</color> - <color=red>Hostile</color>\n<color=#FFFF7CFF>Researchers</color> - <color=red>Hostile</color> | <color=#0096FF>MTF</color>/<color=#5B6370>Guards</color> - <color=red>Hostile</color>\n<color=#008F1C>Chaos Insurgency</color> - <color=#FFFFFF>Neutral</color></size>\n<b>Please check <color=#FF0>server info</color> about allies/enemies!</b>\nKill all hostile
<color=#EC2222><size=18><color=#F00>SCP Monsters</color> - <color=#00FF78>Friendly</color> | <color=#FF8E00>Class-D</color> - <color=red>Hostile</color>\n<color=#FFFF7CFF>Researchers</color> - <color=red>Hostile</color> | <color=#0096FF>MTF</color>/<color=#5B6370>Guards</color> - <color=red>Hostile</color>\n<color=#008F1C>Chaos Insurgency</color> - <color=#FFFFFF>Neutral</color></size>\n<b>Please check <color=#FF0>server info</color> about allies/enemies!</b>\nKill all hostile
<color=#EC2222><size=18><color=#F00>SCP Monsters</color> - <color=#00FF78>Friendly</color> | <color=#FF8E00>Class-D</color> - <color=red>Hostile</color>\n<color=#FFFF7CFF>Researchers</color> - <color=red>Hostile</color> | <color=#0096FF>MTF</color>/<color=#5B6370>Guards</color> - <color=red>Hostile</color>\n<color=#008F1C>Chaos Insurgency</color> - <color=#FFFFFF>Neutral</color></size>\n<b>Please check <color=#FF0>server info</color> about allies/enemies!</b>\nKill all hostile
<color=#EC2222><size=18><color=#F00>SCP Monsters</color> - <color=#00FF78>Friendly</color> | <color=#FF8E00>Class-D</color> - <color=red>Hostile</color>\n<color=#FFFF7CFF>Researchers</color> - <color=red>Hostile</color> | <color=#0096FF>MTF</color>/<color=#5B6370>Guards</color> - <color=red>Hostile</color>\n<color=#008F1C>Chaos Insurgency</color> - <color=#FFFFFF>Neutral</color></size>\n<b>Please check <color=#FF0>server info</color> about allies/enemies!</b>\nKill all hostile
<color=#EC2222><size=18><color=#F00>SCP Monsters</color> - <color=#00FF78>Friendly</color> | <color=#FF8E00>Class-D</color> - <color=red>Hostile</color>\n<color=#FFFF7CFF>Researchers</color> - <color=red>Hostile</color> | <color=#0096FF>MTF</color>/<color=#5B6370>Guards</color> - <color=red>Hostile</color>\n<color=#008F1C>Chaos Insurgency</color> - <color=#FFFFFF>Neutral</color></size>\n<b>Please check <color=#FF0>server info</color> about allies/enemies!</b>\nKill all hostile
<color=#EC2222><size=18><color=#F00>SCP Monsters</color> - <color=#00FF78>Friendly</color> | <color=#FF8E00>Class-D</color> - <color=red>Hostile</color>\n<color=#FFFF7CFF>Researchers</color> - <color=red>Hostile</color> | <color=#0096FF>MTF</color>/<color=#5B6370>Guards</color> - <color=red>Hostile</color>\n<color=#008F1C>Chaos Insurgency</color> - <color=#FFFFFF>Neutral</color></size>\n<b>Please check <color=#FF0>server info</color> about allies/enemies!</b>\nKill all hostile
<color=#EC2222><size=18><color=#F00>SCP Monsters</color> - <color=#00FF78>Friendly</color> | <color=#FF8E00>Class-D</color> - <color=red>Hostile</color>\n<color=#FFFF7CFF>Researchers</color> - <color=red>Hostile</color> | <color=#0096FF>MTF</color>/<color=#5B6370>Guards</color> - <color=red>Hostile</color>\n<color=#008F1C>Chaos Insurgency</color> - <color=#FFFFFF>Neutral</color></size>\n<b>Please check <color=#FF0>server info</color> about allies/enemies!</b>\nKill all hostile
<color=#EC2222><size=18><color=#F00>SCP Monsters</color> - <color=#00FF78>Friendly</color> | <color=#FF8E00>Class-D</color> - <color=red>Hostile</color>\n<color=#FFFF7CFF>Researchers</color> - <color=red>Hostile</color> | <color=#0096FF>MTF</color>/<color=#5B6370>Guards</color> - <color=red>Hostile</color>\n<color=#008F1C>Chaos Insurgency</color> - <color=#FFFFFF>Neutral</color></size>\n<b>Please check <color=#FF0>server info</color> about allies/enemies!</b>\nKill all hostile
<color=#EC2222><size=18><color=#F00>SCP Monsters</color> - <color=#00FF78>Friendly</color> | <color=#FF8E00>Class-D</color> - <color=red>Hostile</color>\n<color=#FFFF7CFF>Researchers</color> - <color=red>Hostile</color> | <color=#0096FF>MTF</color>/<color=#5B6370>Guards</color> - <color=red>Hostile</color>\n<color=#008F1C>Chaos Insurgency</color> - <color=#FFFFFF>Neutral</color></size>\n<b>Please check <color=#FF0>server info</color> about allies/enemies!</b>\nKill all hostile
<color=#EC2222><size=18><color=#F00>SCP Monsters</color> - <color=#00FF78>Friendly</color> | <color=#FF8E00>Class-D</color> - <color=red>Hostile</color>\n<color=#FFFF7CFF>Researchers</color> - <color=red>Hostile</color> | <color=#0096FF>MTF</color>/<color=#5B6370>Guards</color> - <color=red>Hostile</color>\n<color=#008F1C>Chaos Insurgency</color> - <color=#FFFFFF>Neutral</color></size>\n<b>Please check <color=#FF0>server info</color> about allies/enemies!</b>\nKill all hostile
<color=#EC2222><size=18><color=#F00>SCP Monsters</color> - <color=#00FF78>Friendly</color> | <color=#FF8E00>Class-D</color> - <color=red>Hostile</color>\n<color=#FFFF7CFF>Researchers</color> - <color=red>Hostile</color> | <color=#0096FF>MTF</color>/<color=#5B6370>Guards</color> - <color=red>Hostile</color>\n<color=#008F1C>Chaos Insurgency</color> - <color=#FFFFFF>Neutral</color></size>\n<b>Please check <color=#FF0>server info</color> about allies/enemies!</b>\nKill all hostile
<color=#EC2222><size=18><color=#F00>SCP Monsters</color> - <color=#00FF78>Friendly</color> | <color=#FF8E00>Class-D</color> - <color=red>Hostile</color>\n<color=#FFFF7CFF>Researchers</color> - <color=red>Hostile</color> | <color=#0096FF>MTF</color>/<color=#5B6370>Guards</color> - <color=red>Hostile</color>\n<color=#008F1C>Chaos Insurgency</color> - <color=#FFFFFF>Neutral</color></size>\n<b>Please check <color=#FF0>server info</color> about allies/enemies!</b>\nKill all hostile

I'm an idiot, the info is in the scp hug thingy
